# rank	test_index	similarity
1021	1657	0.022589
1022	2083	0.022398
1023	710	0.022360
1024	1479	0.022336
1025	135	0.022302
1026	1638	0.022080
1027	378	0.022065
1028	1182	0.022004
1029	2024	0.021890
1030	1248	0.021808
1031	2028	0.021538
1032	1414	0.021521
1033	2395	0.021455
1034	32	0.021440
1035	1398	0.021418
1036	1553	0.021345
1037	2401	0.021316
1038	1757	0.021278
1039	2277	0.021068
1040	922	0.020587
1041	336	0.020487
1042	916	0.020461
1043	669	0.020459
1044	756	0.020428
1045	1463	0.020409
1046	2201	0.020349
1047	1901	0.020263
1048	1645	0.020185
1049	1464	0.020077
1050	1833	0.019958
1051	0	0.019951
1052	1594	0.019930
1053	1170	0.019913
1054	2229	0.019847
1055	1403	0.019651
1056	345	0.019633
1057	463	0.019597
1058	1194	0.019530
1059	742	0.019431
1060	2250	0.019353
1061	1687	0.019343
1062	1882	0.019081
1063	2317	0.018896
1064	1751	0.018852
1065	128	0.018787
1066	1262	0.018656
1067	678	0.018527
1068	656	0.018457
1069	1293	0.018338
1070	2425	0.018311
1071	2468	0.018110
1072	299	0.018093
1073	1563	0.018031
1074	373	0.017924
1075	2403	0.017923
1076	1196	0.017912
1077	912	0.017800
1078	342	0.017751
1079	926	0.017724
1080	1030	0.017703
1081	1993	0.017694
1082	1208	0.017693
1083	1340	0.017649
1084	2189	0.017574
1085	632	0.017228
1086	1486	0.017191
1087	1374	0.016941
1088	121	0.016935
1089	727	0.016868
1090	559	0.016849
1091	1896	0.016644
1092	141	0.016635
1093	531	0.016609
1094	1557	0.016299
1095	1471	0.016272
1096	1769	0.016051
1097	2023	0.015984
1098	979	0.015903
1099	821	0.015772
1100	1881	0.015574
1101	1355	0.015541
1102	698	0.015521
1103	1905	0.015451
1104	2086	0.015438
1105	2331	0.015407
1106	2080	0.015275
1107	1220	0.015262
1108	869	0.015188
1109	844	0.015180
1110	1649	0.015129
1111	1936	0.015125
1112	1191	0.015014
1113	947	0.014752
1114	1053	0.014669
1115	445	0.014665
1116	1051	0.014565
1117	1812	0.014482
1118	65	0.014424
1119	909	0.014383
1120	477	0.014244
1121	2043	0.014238
1122	718	0.014175
1123	1577	0.014124
1124	1875	0.014121
1125	1955	0.014097
1126	2036	0.014072
1127	2375	0.014012
1128	2323	0.013765
1129	1131	0.013586
1130	2384	0.013532
1131	1180	0.013416
1132	1443	0.013373
1133	911	0.013373
1134	107	0.013197
1135	2160	0.013191
1136	159	0.013183
1137	1699	0.013086
1138	329	0.012949
1139	251	0.012845
1140	1178	0.012761
1141	1260	0.012595
1142	1243	0.012542
1143	1754	0.012502
1144	2099	0.012492
1145	2406	0.012418
1146	1045	0.012299
1147	63	0.012243
1148	538	0.012118
1149	110	0.012032
1150	1665	0.011994
1151	1717	0.011891
1152	1832	0.011776
1153	2390	0.011543
1154	456	0.011495
1155	1008	0.011440
1156	90	0.011345
1157	1235	0.011242
1158	35	0.011224
1159	130	0.011149
1160	789	0.011139
1161	407	0.011122
1162	674	0.010816
1163	2445	0.010764
1164	1310	0.010707
1165	501	0.010623
1166	529	0.010606
1167	1063	0.010592
1168	717	0.009981
1169	2199	0.009964
1170	2075	0.009893
1171	2319	0.009876
1172	1921	0.009861
1173	661	0.009665
1174	1584	0.009317
1175	2207	0.009135
1176	1816	0.009093
1177	1524	0.009024
1178	1285	0.008894
1179	1064	0.008752
1180	640	0.008597
1181	383	0.008584
1182	813	0.008532
1183	1586	0.008469
1184	176	0.008462
1185	634	0.008369
1186	1803	0.008363
1187	810	0.008331
1188	682	0.008220
1189	537	0.008010
1190	1098	0.007747
1191	1770	0.007725
1192	1111	0.007668
1193	61	0.007547
1194	2381	0.007527
1195	600	0.007440
1196	171	0.007436
1197	738	0.007427
1198	5	0.007332
1199	2041	0.007227
1200	2112	0.007138
1201	2458	0.007122
1202	1870	0.007120
1203	24	0.007060
1204	2101	0.006902
1205	728	0.006900
1206	1826	0.006837
1207	1341	0.006800
1208	1186	0.006766
1209	715	0.006695
1210	884	0.006370
1211	1650	0.006126
1212	1872	0.006106
1213	819	0.006077
1214	490	0.006076
1215	1114	0.006017
1216	1203	0.005906
1217	1222	0.005895
1218	2374	0.005873
1219	1430	0.005813
1220	1433	0.005716
1221	30	0.005530
1222	511	0.005376
1223	1894	0.005156
1224	1734	0.005153
1225	1477	0.005113
1226	837	0.004984
1227	1395	0.004920
1228	759	0.004863
1229	2017	0.004789
1230	2032	0.004772
1231	1799	0.004662
1232	267	0.004641
1233	432	0.004554
1234	961	0.004494
1235	1217	0.004452
1236	929	0.004452
1237	143	0.004374
1238	1280	0.004237
1239	532	0.004224
1240	431	0.004168
1241	1022	0.004156
1242	2136	0.004026
1243	1130	0.003858
1244	1552	0.003812
1245	1381	0.003786
1246	1963	0.003682
1247	1380	0.003569
1248	243	0.003568
1249	1610	0.003516
1250	527	0.003468
1251	2157	0.003308
1252	2400	0.003250
1253	1173	0.002879
1254	502	0.002804
1255	1271	0.002745
1256	579	0.002697
1257	2434	0.002539
1258	168	0.001688
1259	433	0.001636
1260	2420	0.001614
1261	1933	0.001424
1262	472	0.001322
1263	567	0.001153
1264	2164	0.001115
1265	1048	0.001078
1266	636	0.001037
1267	1301	0.000943
1268	719	0.000838
1269	179	0.000716
1270	607	0.000672
